"Title:","Median Home Value - Middle Tier Homes from the Zillow Real Estate Metrics [Archive] Database"
"SubTitle:","Counties within State"
"Time:","04/1996 - 04/2019"
"Unit of Measure:","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$"
"03/1998",107700,148500,62400,49800,59700,56000,55500,47100,64400,98600,61100,57900,136500,83300,65400,42700,53700,76300,77000,51200,48500,174300,75100,67800,92000,51400,196600,"",73500,62300,76000,87600,125000,64300,57300,61000,173300,175200,89000,170400,208300,43100,110900,83600,64900,64200,52400,154900,68800,61200,84100,92100,82000,63500,78900,279700,66100,67900
"04/1998",107800,149000,62800,50000,59900,56100,55600,47100,64800,99000,60700,57900,136800,83200,66100,42800,53900,76400,77400,51600,48400,175300,75300,68100,92300,51600,197700,"",73500,62600,76200,87800,125100,64600,57600,61400,173700,175700,88900,171000,209000,43400,111200,83400,65500,64400,52500,155600,68900,61500,84300,91900,82300,63100,79000,281200,66300,68100
"05/1998",107900,149600,63100,50100,60300,56100,55700,47100,65100,99500,60500,58000,137300,83200,66700,43000,54100,76500,77700,52000,48400,176100,75600,68500,92400,51900,198900,"",73400,62800,76200,88100,125200,65000,57900,61800,174100,176500,88900,171500,209800,43600,111400,83200,66000,64500,52600,156400,69000,61800,84400,91700,82900,62700,79200,282700,66600,68200
"06/1998",107800,150000,63400,50100,60800,56100,55700,47200,65300,100000,60300,58000,137700,83100,67000,43200,54200,76500,77900,52400,48500,177000,75900,68800,92400,52300,200300,"",73300,63100,76200,88400,125300,65300,58200,62100,174400,177300,88900,172200,210700,43900,111500,83000,66300,64600,52700,157200,69200,62100,84400,91300,83500,62300,79600,284400,67000,68200
"07/1998",107600,150400,63700,50100,61400,56200,55800,47200,65400,100400,60300,58200,138100,82900,67200,43400,54300,76500,78000,52800,48600,177900,76400,69200,92300,52700,202000,"",73100,63300,76200,88800,125500,65600,58600,62400,174600,178300,89100,172800,211700,44000,111500,82900,66400,64700,52800,158100,69400,62400,84400,91000,84300,62000,80000,286300,67300,68300
"08/1998",107500,150700,64000,50000,62100,56300,55800,47300,65500,100800,60300,58300,138500,82800,67100,43500,54400,76500,78200,53100,48900,178800,77000,69400,92200,53000,203800,"",72800,63600,76200,89100,125800,65900,58900,62600,175000,179100,89200,173500,212900,44100,111700,82800,66500,64600,53000,159100,69600,62700,84400,90800,85100,61800,80400,288400,67600,68400
"09/1998",107400,151000,64300,49900,62800,56400,55900,47400,65500,101200,60400,58500,138800,82800,67000,43500,54500,76400,78400,53400,49200,179700,77600,69600,92000,53400,205900,"",72600,63700,76100,89300,126200,66100,59300,62700,175500,180000,89400,174200,214300,44300,111900,82800,66500,64400,53300,160100,69900,63000,84400,90700,85900,61800,80600,290400,67900,68600
"10/1998",107400,151300,64500,49800,63500,56500,56100,47500,65500,101500,60500,58600,139200,82800,66700,43600,54500,76200,78500,53600,49600,180800,78200,69700,91700,53800,208100,"",72400,63900,76100,89600,126700,66300,59500,62600,176200,180900,89700,174900,216000,44400,112200,82800,66400,64200,53600,161300,70200,63200,84300,90700,86700,61900,80800,292500,68300,68700
"11/1998",107500,151600,64800,49600,64200,56600,56300,47400,65400,101800,60700,58900,139700,82700,66400,43600,54500,76200,78600,53700,50000,182100,78700,69800,91600,54100,210600,"",72200,64000,76200,89900,127200,66400,59600,62500,177100,181800,90100,175600,217900,44400,112600,83000,66200,63900,53900,162400,70400,63300,84200,90800,87500,62000,80900,294400,68500,68900
"12/1998",107700,152000,65000,49400,64900,56800,56600,47400,65300,102100,60800,59200,140200,82700,66000,43600,54500,76100,78800,53800,50300,183500,79200,69700,91500,54500,213400,"",72200,64200,76300,90300,127700,66400,59600,62300,178400,182800,90500,176500,220300,44500,113200,83200,65900,63500,54200,163800,70700,63400,84200,90800,88400,62200,81000,296600,68700,69200
"01/1999",107900,152600,65300,49200,65500,57100,57000,47400,65200,102400,60900,59600,140800,82700,65700,43700,54500,75900,79000,53800,50500,185100,79600,69600,91600,54800,216500,"",72100,64400,76400,90800,128300,66300,59500,62100,179900,183900,90900,177600,222900,44600,113800,83500,65600,63200,54500,165200,71200,63500,84200,90800,89300,62300,80900,298900,68900,69500
"02/1999",108200,153300,65500,49000,66100,57400,57400,47300,65000,102800,61100,60000,141300,82600,65300,43800,54600,75800,79100,53900,50800,186600,79900,69500,91800,55000,219400,"",72100,64600,76500,91300,128800,66200,59300,61800,181600,184900,91400,178700,225400,44600,114400,83800,65200,62800,54800,166500,71500,63500,84300,90700,90100,62500,80900,301100,68900,69800
"03/1999",108400,154100,65600,48700,66500,57700,57900,47300,64900,103100,61400,60400,141700,82500,64900,43900,54600,75700,79000,53900,51100,188000,80100,69300,92100,55100,222100,"",72100,64700,76500,91900,129400,66000,59000,61700,183400,185700,91900,179800,227800,44400,114900,84000,64700,62300,55200,167600,71700,63400,84400,90300,90600,62700,80900,303000,69000,70200
"04/1999",108600,154900,65700,48500,67000,58000,58400,47400,64700,103400,61600,60800,142200,82500,64500,44000,54600,75500,79000,53900,51300,189400,80200,69300,92400,55200,224900,"",72200,64900,76600,92500,130100,65900,58700,61600,185300,187000,92500,181000,230300,44300,115300,84300,64300,61900,55500,168800,71800,63300,84500,89900,91100,62900,80900,305100,69000,70600
"05/1999",108800,156000,65700,48500,67400,58300,58800,47600,64700,103800,61900,61300,142900,82400,64200,44100,54800,75400,79000,54000,51500,190900,80200,69300,92800,55200,227600,"",72200,65000,76700,93100,131000,65800,58400,61600,187300,188800,93000,182300,232800,44100,115700,84600,63900,61600,55900,170000,72000,63200,84700,89800,91500,63200,81000,307500,69000,71000
"06/1999",108900,157100,65700,48400,67900,58600,59200,47900,64800,104200,62300,61900,143800,82400,64100,44300,55000,75300,79000,54100,51800,192400,80100,69400,93200,55100,230400,"",72300,65200,76900,93600,132100,65800,58200,61700,189400,190900,93400,183700,235200,44000,115900,84800,63600,61300,56200,171500,72100,63200,84900,89800,91800,63500,81200,309900,69000,71400
"07/1999",109100,158200,65700,48500,68300,58900,59600,48300,64900,104600,62700,62400,144900,82400,64100,44600,55100,75200,79000,54400,51900,194100,79900,69400,93600,55000,233000,"",72500,65300,77100,94000,133100,65900,57900,61900,191500,193300,93800,185000,237600,43800,116000,85100,63500,61000,56400,173000,72200,63100,85100,90000,91900,64000,81500,312600,69100,71900
"08/1999",109200,159100,65600,48600,68600,59200,59900,48800,65100,105100,63000,63000,146000,82500,64200,44900,55300,75200,78900,54700,52000,195800,79700,69500,94000,54900,235600,"",72600,65500,77300,94100,134200,66100,57700,62100,193700,195800,94100,186400,239900,43800,116000,85200,63400,60800,56600,174600,72200,63000,85400,90500,92000,64400,81800,315300,69100,72300
"09/1999",109300,160000,65300,48800,68800,59500,60000,49400,65300,105600,63300,63700,147300,82500,64400,45300,55500,75100,78900,55100,52100,197600,79400,69600,94200,54700,238200,"",72700,65600,77500,94000,135200,66300,57400,62200,195900,198400,94400,187900,242100,43900,115900,85300,63600,60700,56700,176200,72300,62900,85700,91100,91900,64700,82000,318100,69100,72700
"10/1999",109300,160800,65000,49000,68800,59700,60100,49900,65500,106300,63500,64300,148500,82600,64800,45700,55700,75100,79000,55500,52100,199500,79000,69700,94500,54600,240600,"",72900,65700,77600,93900,136000,66400,57300,62400,198200,201100,94500,189500,244300,44100,115900,85400,63800,60600,56700,178000,72400,62800,85900,91800,91800,65000,82300,321100,69100,73000
"11/1999",109400,161800,64800,49200,68800,59900,60200,50400,65600,107000,63600,65100,149700,82700,65300,46100,55800,75100,79100,55900,52000,201700,78600,69800,94600,54400,243000,"",73100,65700,77800,93700,136800,66600,57300,62600,200500,203800,94500,191300,246400,44400,116000,85400,64100,60600,56600,179900,72400,62600,86100,92800,91800,65300,82500,324200,69000,73300
"12/1999",109500,163000,64500,49400,68700,60000,60200,50900,65800,107800,63600,65900,151200,82900,65900,46500,55900,75200,79300,56300,51900,204300,78100,70000,94700,54300,245600,"",73300,65800,78000,93500,137700,66700,57400,62900,203000,206600,94500,193500,248800,44900,116300,85400,64600,60700,56500,182100,72600,62500,86400,93900,91900,65600,82700,328000,68900,73500
"01/2000",109800,164400,64300,49600,68600,60300,60400,51200,65900,108600,63600,66700,152900,83300,66700,46900,56000,75300,79600,56700,51700,207300,77700,70200,94800,54200,248500,"",73700,65900,78300,93200,138800,66800,57700,63100,205800,209300,94700,196000,251400,45300,116800,85500,65100,61000,56400,184600,72900,62500,86700,95200,92100,65900,82800,332200,68900,73700
"02/2000",110100,165900,64100,49900,68400,60400,60600,51600,65900,109400,63600,67400,154700,83700,67400,47300,56100,75300,79800,57100,51500,210500,77300,70500,94900,54200,251200,"",74300,66000,78600,93000,140000,67000,58000,63300,208600,211700,94800,198800,254000,45800,117300,85700,65600,61300,56300,187100,73400,62400,87100,96600,92200,66200,82800,336200,68800,73900
"03/2000",110400,167400,64000,50100,68300,60500,60900,51800,65900,110100,63700,68000,156600,84100,68200,47600,56200,75300,80000,57300,51400,213800,77000,70800,95100,54200,253700,"",75000,66100,79000,92800,141200,67000,58300,63500,211300,213700,94900,201600,256500,46200,117900,85800,66100,61600,56300,189500,73800,62300,87500,97900,92400,66500,82700,339900,68800,74100
"04/2000",110900,169200,64000,50200,68300,60600,61100,51900,65900,110700,63700,68600,158700,84500,69000,47900,56400,75300,80300,57500,51400,217300,76800,71200,95300,54300,256200,"",75800,66300,79400,92700,142500,67100,58600,63700,214200,215900,95000,204700,259100,46600,118400,86100,66600,62100,56300,191900,74200,62300,87900,99100,92600,66800,82400,343600,68900,74400
"05/2000",111300,171000,64100,50400,68500,60600,61200,52000,66000,111300,63900,69000,160900,84800,69900,48100,56600,75400,80600,57600,51400,220500,76800,71600,95500,54400,258700,"",76500,66400,79800,92600,143700,67300,58900,64000,217000,218200,95200,208000,261700,46900,118800,86400,67100,62600,56300,194300,74800,62400,88400,100200,92900,67100,82000,347100,69000,74800
"06/2000",111800,172800,64300,50500,68700,60600,61400,52000,66100,111800,64100,69400,163000,84900,70700,48300,56800,75500,81000,57700,51500,223400,76900,71900,95900,54600,261000,"",77100,66600,80100,92700,144900,67500,59200,64200,219700,220600,95300,211300,264200,47100,119100,86700,67500,63200,56400,196700,75300,62500,88800,101100,93100,67400,81400,350400,69100,75300
"07/2000",112200,174300,64600,50600,68900,60600,61500,52000,66300,112300,64400,69700,164900,84700,71600,48600,57000,75700,81500,57800,51600,225800,77100,72300,96200,54900,263100,"",77600,66700,80300,93000,146100,67800,59600,64500,222300,223000,95300,214700,266500,47300,119300,87000,67800,63800,56600,199000,75700,62600,89200,102000,93500,67700,80700,353600,69300,75900
"08/2000",112600,175600,64900,50600,69100,60700,61500,52000,66400,112700,64700,69800,166600,84500,72500,48800,57200,75900,82000,57900,51800,227800,77600,72600,96500,55100,265100,"",77800,66800,80400,93500,147200,68100,60000,64800,224800,225200,95300,218100,268700,47500,119400,87400,68000,64500,56900,201500,76200,62700,89500,102800,94000,68000,80100,356700,69600,76500
"09/2000",113000,176600,65300,50700,69200,60700,61500,52000,66600,113100,65100,69900,168300,84200,73200,48900,57400,76200,82400,58000,52000,229500,78200,73000,96800,55400,267000,"",77900,66900,80600,94100,148300,68300,60400,65000,227000,227200,95200,221400,270800,47600,119600,87900,68200,65200,57300,204100,76600,62900,89900,103600,94600,68200,79500,359800,69900,77100
"10/2000",113400,177500,65800,50800,69300,60700,61600,51900,66800,113400,65400,69900,170000,84000,73900,49000,57600,76600,83000,58100,52100,231100,78800,73400,97100,55800,268900,"",77900,67000,80700,94900,149400,68400,60800,65200,229200,229000,95200,224500,272800,47800,120100,88300,68400,65900,58000,206800,77000,63100,90300,104300,95300,68400,79200,363000,70200,77700
"11/2000",113800,178400,66400,50800,69400,60900,61600,51900,67100,113900,65800,69700,171800,84000,74600,49100,57800,77200,83600,58200,52300,232800,79500,73700,97400,56200,270800,"",77900,67100,80800,95800,150800,68500,61200,65400,231300,230600,95300,227500,274800,48000,120700,88800,68500,66600,58700,209700,77400,63300,90800,105100,96100,68600,79200,366300,70500,78300
"12/2000",114200,179300,67000,51000,69500,61100,61700,51700,67400,114400,66200,69600,173700,84000,75300,49200,58100,77800,84200,58400,52500,234800,80200,74000,97800,56600,272700,"",77900,67300,81000,96700,152300,68500,61400,65700,233500,232200,95400,230400,277100,48200,121400,89400,68500,67300,59500,212900,77900,63500,91400,106100,97000,68800,79600,370300,70900,78800
"01/2001",114700,180200,67700,51200,69500,61300,61900,51600,67700,115100,66500,69500,175800,84100,76000,49200,58400,78400,84800,58500,52600,237100,80900,74400,98100,57000,274800,"",77800,67500,81400,97600,154100,68400,61600,66000,235800,233500,95600,233200,279600,48400,122300,90000,68600,67900,60300,216100,78400,63800,92100,107100,98000,69000,80200,374600,71200,79200
"02/2001",115300,181200,68300,51300,69600,61400,62300,51500,67900,115900,66800,69400,177900,84400,76600,49200,58800,78900,85400,58600,52700,239500,81600,74800,98400,57400,276800,"",77800,67700,81700,98300,155900,68300,61800,66300,238100,234500,96000,235600,282200,48600,123200,90600,68700,68400,61000,219200,79100,64000,92800,108200,99000,69300,81100,379100,71600,79400
"03/2001",116000,182200,68900,51400,69800,61500,62700,51400,68200,116800,67000,69200,179900,84700,77100,49200,59200,79300,85900,58600,52900,242000,82200,75100,98600,57700,278800,"",77800,67900,82200,98900,157700,68200,61900,66600,240600,235400,96400,237900,285000,48800,124100,91200,68700,68900,61700,222200,79700,64200,93500,109300,100000,69700,81900,383800,71900,79600
"04/2001",116700,183400,69500,51600,70000,61500,63100,51300,68400,117700,67400,69100,181800,85200,77500,49100,59600,79600,86300,58700,53100,244800,82800,75400,98900,57900,280900,"",77900,68000,82700,99300,159500,68100,61900,66900,243100,236800,96800,240100,288000,48900,125000,91600,68700,69200,62200,225100,80500,64400,94200,110600,100900,70000,82900,388800,72300,79600
"05/2001",117500,184700,70000,51700,70200,61600,63500,51300,68600,118700,67800,68900,183600,85700,77800,49100,60100,79900,86700,58700,53400,247600,83400,75600,99100,58100,283300,"",78000,68300,83300,99500,161200,68100,61900,67300,245800,238700,97400,242200,291300,49000,125900,92000,68800,69400,62500,227800,81200,64600,94800,112000,101700,70300,83800,393700,72600,79500
"06/2001",118300,186100,70500,51800,70500,61600,63900,51400,68800,119800,68200,68800,185100,86400,78000,49000,60700,80100,87100,58800,53800,250600,83900,75900,99400,58300,285800,"",78000,68600,84000,99600,162800,68200,61900,67700,248600,241200,98000,244300,294900,49000,126800,92200,68800,69400,62700,230600,82000,64700,95100,113700,102300,70800,84600,398400,72900,79200
"07/2001",119100,187700,70900,51900,70800,61600,64100,51600,69100,120800,68600,68800,186600,87000,78000,49000,61200,80300,87500,58900,54200,253900,84400,76100,99800,58400,288400,"",78000,69000,84700,99600,164300,68500,62000,68300,251400,244000,98800,246400,298600,48900,127800,92300,68900,69300,62700,233400,82700,64900,95400,115600,102900,71200,85300,402900,73200,78800
"08/2001",119800,189300,71200,52000,70900,61500,64300,51900,69400,121900,69000,68800,188000,87600,78000,49100,61700,80400,87900,59000,54700,257600,84800,76300,100200,58400,291300,"",78000,69300,85400,99600,165700,68700,62200,68700,254200,246900,99600,248700,302500,48800,128700,92300,69100,69100,62500,236300,83400,65000,95500,117600,103300,71600,85900,407000,73500,78300
"09/2001",120500,191100,71500,52200,70900,61400,64400,52300,69700,122900,69300,68900,189400,88300,78000,49200,62100,80400,88300,59200,55300,261800,85200,76500,100600,58500,294400,"",78000,69700,86000,99800,167100,69000,62500,69300,257100,250100,100500,251000,306400,48700,129500,92300,69300,68800,62300,239300,84100,65200,95600,119700,103600,72000,86500,410600,73800,77800
"10/2001",121100,193300,71700,52400,70800,61300,64400,52800,70000,123900,69500,69100,191100,88800,78000,49400,62300,80300,88800,59400,55700,266500,85500,76800,101000,58500,297700,"",78100,70000,86600,100100,168500,69200,62800,69800,260000,253300,101400,253400,310300,48700,130400,92400,69700,68400,62000,242500,84700,65400,95800,121900,103900,72300,86900,413800,73900,77200
"11/2001",121800,195800,71900,52600,70600,61200,64400,53200,70400,125000,69700,69400,192900,89300,78000,49800,62600,80300,89300,59700,56000,271200,85800,77200,101300,58600,301300,"",78200,70300,87000,100600,170100,69300,63100,70400,263000,256700,102500,255900,314100,48800,131200,92600,70100,68000,61700,245800,85200,65700,96200,124200,104200,72700,87200,416700,74100,76600
"12/2001",122400,198800,72000,52900,70400,61100,64300,53600,70800,126200,69800,70000,195000,89800,78200,50200,62800,80400,89900,60100,56400,275700,86000,77600,101700,58600,305100,"",78400,70500,87400,101300,171900,69300,63400,71100,266100,259700,103600,258300,318000,48900,132100,93000,70700,67600,61400,249300,85900,66000,96900,126700,104600,73100,87400,419200,74200,76100
"01/2002",123200,202000,72200,53300,70200,61100,64300,54000,71300,127600,69800,70500,197400,90300,78400,50700,63100,80500,90500,60500,56700,279300,86200,78100,102000,58600,308900,"",78600,70600,87700,102200,173900,69300,63600,71800,269300,262100,104700,260800,321800,49000,133100,93600,71400,67300,61100,252900,86900,66300,97700,129300,105100,73500,87600,421600,74300,75600
